CustomerId,R_score,F_score,M_score,Cluster_Label,Customer_Category
Cust-22170,37.9722,30.522,2.694,1,6. Dormant
Cust-22171,59.03273,41.855,36.361,1,6. Dormant
Cust-22172,56.28684,41.855,64.931,3,4. At Risk
Cust-22173,35.8027,58.376,81.246,3,4. At Risk
Cust-22174,72.53905,83.516,87.609,5,1. Loyal
Cust-22175,36.33807,30.522,63.178,6,5. One-Time Buy
Cust-22176,36.33807,16.241,15.774,0,7. Lost
Cust-22177,51.69867,63.962,56.066,3,4. At Risk
Cust-22178,50.91813,68.422,82.204,2,3. Need Attention
Cust-22179,38.19535,30.522,40.007,6,5. One-Time Buy
Cust-22180,66.59895,58.376,76.681,2,3. Need Attention
Cust-22181,62.04781,41.855,45.633,1,6. Dormant
Cust-22182,60.61983,74.91,70.196,2,3. Need Attention
Cust-22183,76.98712,79.162,75.726,5,1. Loyal
Cust-22184,36.54321,51.272,63.962,3,4. At Risk
Cust-22185,49.281,68.422,54.059,3,4. At Risk
Cust-22186,35.5085,30.522,43.951,6,5. One-Time Buy
Cust-22187,37.5389,51.272,77.048,3,4. At Risk
Cust-22188,82.14568,79.162,87.888,5,1. Loyal
Cust-22189,37.5389,30.522,42.823,6,5. One-Time Buy
Cust-22190,35.06419,16.241,6.273,0,7. Lost
Cust-22191,99.45562,58.376,40.451,4,2. Potential Loyal
Cust-22192,91.31201,95.385,97.408,5,1. Loyal
Cust-22193,67.64267,51.272,58.444,4,2. Potential Loyal
Cust-22194,66.59895,91.877,91.256,2,3. Need Attention
Cust-22195,49.01982,87.727,63.681,2,3. Need Attention
Cust-22196,35.8027,41.855,45.123,3,4. At Risk
Cust-22197,35.2243,30.522,77.714,6,5. One-Time Buy
Cust-22198,73.0364,91.877,85.798,5,1. Loyal
Cust-22199,37.34277,63.962,89.408,2,3. Need Attention
Cust-22200,37.74805,58.376,56.713,3,4. At Risk
Cust-22201,42.4683,58.376,50.428,3,4. At Risk
Cust-22202,35.06419,51.272,60.192,3,4. At Risk
Cust-22203,34.87506,16.241,12.985,0,7. Lost
Cust-22204,35.37741,30.522,77.019,6,5. One-Time Buy
Cust-22205,89.7049,88.83,89.424,5,1. Loyal
Cust-22206,36.54321,30.522,25.552,1,6. Dormant
Cust-22207,36.54321,16.241,58.195,6,5. One-Time Buy
Cust-22208,90.50045,41.855,59.009,4,2. Potential Loyal
Cust-22209,98.05966,84.536,49.785,4,2. Potential Loyal
Cust-22210,43.30788,51.272,31.106,1,6. Dormant
Cust-22211,37.34277,51.272,69.266,3,4. At Risk
Cust-22212,37.34277,41.855,68.445,3,4. At Risk
Cust-22213,38.19535,16.241,30.087,6,5. One-Time Buy
Cust-22214,37.34277,30.522,69.22,6,5. One-Time Buy
Cust-22215,36.33807,30.522,63.422,6,5. One-Time Buy
Cust-22216,87.27922,72.023,58.49,4,2. Potential Loyal
Cust-22217,92.89009,95.82,97.324,5,1. Loyal
Cust-22218,58.62545,80.859,87.126,2,3. Need Attention
Cust-22219,64.11224,80.859,50.364,4,2. Potential Loyal
Cust-22220,41.20843,68.422,71.918,3,4. At Risk
Cust-22221,36.74035,30.522,12.663,1,6. Dormant
Cust-22222,35.8027,41.855,55.666,3,4. At Risk
Cust-22223,37.9722,30.522,22.398,1,6. Dormant
Cust-22224,88.90935,93.211,91.362,5,1. Loyal
Cust-22225,78.24999,41.855,10.818,1,6. Dormant
Cust-22226,55.67442,51.272,40.379,1,6. Dormant
Cust-22227,55.09502,51.272,27.083,1,6. Dormant
Cust-22228,75.78429,72.023,81.576,2,3. Need Attention
Cust-22229,87.27922,88.323,75.384,5,1. Loyal
Cust-22230,92.09054,79.162,92.975,5,1. Loyal
